iter	Passed	Remaining
0	4	4982
1	10	5307
2	15	5000
3	19	4863
4	24	4805
5	28	4676
6	32	4635
7	36	4560
8	40	4495
9	56	5616
10	60	5475
11	65	5363
12	69	5287
13	74	5238
14	79	5215
15	84	5175
16	88	5129
17	93	5085
18	97	5040
19	101	4980
20	106	4951
21	110	4919
22	114	4868
23	118	4824
24	123	4812
25	128	4823
26	132	4789
27	136	4747
28	140	4704
29	144	4687
30	149	4659
31	153	4644
32	157	4616
33	161	4590
34	165	4572
35	170	4575
36	175	4567
37	180	4559
38	184	4538
39	188	4517
40	192	4499
41	197	4500
42	201	4485
43	205	4457
44	208	4431
45	213	4418
46	217	4409
47	221	4401
48	226	4398
49	231	4394
50	235	4382
51	239	4371
52	243	4358
53	248	4344
54	252	4339
55	258	4359
56	264	4376
57	269	4376
58	274	4370
59	278	4363
60	282	4354
61	287	4353
62	292	4348
63	297	4345
64	302	4350
65	307	4351
66	312	4347
67	317	4351
68	322	4354
69	327	4347
70	331	4342
71	338	4356
72	343	4357
73	348	4357
74	352	4352
75	357	4349
76	362	4349
77	367	4343
78	371	4336
79	377	4335
80	381	4329
81	386	4321
82	389	4307
83	394	4299
84	398	4288
85	402	4279
86	407	4276
87	412	4270
88	417	4268
89	421	4262
90	425	4249
91	429	4236
92	433	4224
93	437	4220
94	442	4211
95	446	4205
96	450	4194
97	454	4183
98	458	4172
99	462	4165
100	466	4152
101	470	4142
102	474	4133
103	478	4125
104	482	4116
105	487	4108
106	490	4097
107	495	4091
108	499	4079
109	503	4070
110	507	4068
111	512	4059
112	516	4053
113	520	4045
114	525	4041
115	530	4040
116	535	4040
117	541	4044
118	545	4040
119	550	4039
120	556	4040
121	561	4038
122	566	4035
123	570	4031
124	575	4026
125	579	4017
126	583	4009
127	587	4001
128	591	3994
129	595	3986
130	599	3978
131	603	3970
132	608	3966
133	612	3957
134	616	3947
135	620	3940
136	624	3934
137	628	3924
138	632	3918
139	636	3910
140	640	3903
141	644	3895
142	649	3889
143	653	3883
144	657	3876
145	661	3867
146	665	3860
147	669	3854
148	673	3845
149	677	3841
150	682	3837
151	687	3835
152	691	3827
153	696	3825
154	700	3820
155	705	3815
156	709	3808
157	714	3806
158	718	3801
159	722	3793
160	726	3785
161	730	3777
162	735	3775
163	739	3769
164	743	3763
165	749	3763
166	753	3760
167	758	3755
168	762	3750
169	767	3745
170	771	3740
171	776	3736
172	780	3731
173	784	3726
174	788	3719
175	793	3714
176	797	3710
177	802	3704
178	806	3697
179	810	3692
180	814	3685
181	818	3680
182	822	3674
183	827	3668
184	831	3662
185	835	3656
186	839	3651
187	844	3645
188	848	3640
189	853	3640
190	859	3639
191	864	3636
192	869	3635
193	873	3629
194	877	3624
195	883	3623
196	887	3619
